candidate_id,rank,score,reasoning
CAND_0046064,1,98,"Direct ownership of hybrid search, ranking, and evaluation systems with proven NDCG improvements and production deployment at scale."
CAND_0005260,2,97,"Owned production RAG systems, hybrid retrieval, and rigorous eval frameworks at scale. Strong Python, embeddings, and ranking metrics."
CAND_0008425,3,97,"Owned hybrid search systems, improved NDCG@10, deployed fine-tuned LLMs, and built evaluation pipelines. Strong production Python and retrieval expertise."
CAND_0018549,4,97,"Led embedding-based retrieval migration, improved revenue-per-search by 12%, strong A/B testing and NDCG/MRR experience."
CAND_0041568,5,97,"Owned production search ranking systems, used embeddings, NDCG/MRR, A/B testing, and Python coding in fast-paced product environments."
CAND_0081686,6,97,"Owned production search and recommendation systems with embeddings, NDCG/MRR, and A/B testing. Strong Python coding and evaluation rigor."
CAND_0081846,7,97,"Direct ownership of hybrid search, ranking, and evaluation systems with proven NDCG improvements and production scale."
CAND_0092278,8,97,"Owned production hybrid search, RAG, and ranking systems with rigorous NDCG/MRR evaluation. Strong Python and startup shipping mindset."
CAND_0002025,9,96,"Owned hybrid retrieval systems, fine-tuned LLMs, and demonstrated rigorous evaluation with NDCG/MRR."
CAND_0007411,10,96,"Owned end-to-end ranking pipeline with hybrid retrieval, learning-to-rank, and rigorous offline-online evaluation at scale."
CAND_0011687,11,96,"Owned end-to-end ranking pipeline with BGE-large, Pinecone, XGBoost, and rigorous A/B-calibrated evaluation. Strong production Python and hybrid search expertise."
CAND_0022812,12,96,"Strong production experience in search, ranking, and retrieval with proven impact on metrics like NDCG and revenue-per-search."
CAND_0028793,13,96,"Owned production search and ranking systems with embedding-based retrieval, rigorous evaluation, and clear business impact."
CAND_0031593,14,96,"Owned production search and recommendation systems with embedding-based retrieval, A/B testing, and measurable business impact."
CAND_0033861,15,96,"Owned hybrid search, ranking, and RAG systems with proven NDCG improvements, production Python, and strong evaluation rigor."
CAND_0041610,16,96,"Owned production search ranking, migrated to embedding-based retrieval, strong evaluation rigor, and Python engineering skills."
CAND_0041669,17,96,"Owned production ranking, RAG, and recommendation systems with proven NDCG/MRR impact and strong Python engineering in product-first environments."
CAND_0053695,18,96,"Strong production experience with semantic search, ranking models, and evaluation rigor. Demonstrated ownership of retrieval and recommendation systems."
